# Saved on 2025-06-24T17:14:22.728167
# Name: Evan
# Sample_ID: Batch3_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 12
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 6
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A),Loop 4 (A),Loop 5 (A)
-3.4000000000e-01,1.1526000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-3.2000000000e-01,1.0827400000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-3.0000000000e-01,1.0146400000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-2.8000000000e-01,9.4890000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-2.6000000000e-01,8.7902000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-2.4000000000e-01,8.1248000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-2.2000000000e-01,7.4560000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-2.0000000000e-01,6.7564000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-1.8000000000e-01,6.1018000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-1.6000000000e-01,5.4112000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-1.4000000000e-01,4.7222000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-1.2000000000e-01,4.0694000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-1.0000000000e-01,3.3774000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-8.0000000000e-02,2.7046000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-6.0000000000e-02,2.0464000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-4.0000000000e-02,1.3468000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
-2.0000000000e-02,6.8784000000e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,1.1123000000e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,6.2280000000e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0000000000e-02,3.4456000000e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0000000000e-02,6.6504000000e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0000000000e-02,1.0236400000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0000000000e-02,1.3686000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.0000000000e-02,1.6872000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.0000000000e-02,2.0242000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.0000000000e-02,2.3790000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.0000000000e-02,2.6980000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.0000000000e-02,3.0448000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0000000000e-01,3.4002000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.1000000000e-01,3.7140000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2000000000e-01,4.0730000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.3000000000e-01,4.4170000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.4000000000e-01,4.7414000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.5000000000e-01,5.1056000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.6000000000e-01,5.4356000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.7000000000e-01,5.7640000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.8000000000e-01,6.1278000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.9000000000e-01,6.4538000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0000000000e-01,6.7896000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1000000000e-01,7.1512000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2000000000e-01,7.4698000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.3000000000e-01,7.8218000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.4000000000e-01,8.1780000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.5000000000e-01,8.4986000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6000000000e-01,8.8576000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.7000000000e-01,9.2082000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8000000000e-01,9.5310000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9000000000e-01,9.8978000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.3000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.4000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.5000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.6000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.8000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.9000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.1000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.2000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.3000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.4000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.5000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.6000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.7000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.8000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.9000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.0000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.1000000000e-01,1.0000400000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.2000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.3000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.4000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.5000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.6000000000e-01,1.0000400000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.7000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.8000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.9000000000e-01,1.0000400000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.0000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.1000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.2000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.3000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.4000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.5000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.6000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.7000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.8000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.9000000000e-01,1.0000400000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.0000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.1000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.2000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.3000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.4000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.5000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.6000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.7000000000e-01,1.0000400000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.8000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.9000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.0000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.1000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.2000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.3000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.4000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.5000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.6000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.7000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.8000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.9000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.0000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.1000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.2000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.3000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.4000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.5000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.6000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.7000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.8000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.9000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0000000000e+00,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0000000000e+00,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.9000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.8000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.7000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.6000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.5000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.4000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.3000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.2000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.1000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.0000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.9000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.8000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.7000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.6000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.5000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.4000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.3000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.2000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.1000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.0000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.9000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.8000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.7000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.6000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.5000000000e-01,1.0000400000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.4000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.3000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.2000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.1000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.0000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.9000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.8000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.7000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.6000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.5000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.4000000000e-01,1.0000400000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.3000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.2000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.1000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.0000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.9000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.8000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.7000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.6000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.5000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.4000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.3000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.2000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.1000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.0000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.9000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.8000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.7000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.6000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.5000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.4000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.3000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.2000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.1000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.9000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.8000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.6000000000e-01,9.9998000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.5000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.4000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.3000000000e-01,9.9998000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1000000000e-01,1.0000200000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0000000000e-01,1.0000000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9000000000e-01,9.8968000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8000000000e-01,9.5522000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.7000000000e-01,9.1952000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6000000000e-01,8.8742000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.5000000000e-01,8.5204000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.4000000000e-01,8.1630000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.3000000000e-01,7.8438000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2000000000e-01,7.4800000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1000000000e-01,7.1390000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0000000000e-01,6.8098000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.9000000000e-01,6.4482000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.8000000000e-01,6.1164000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.7000000000e-01,5.7898000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.6000000000e-01,5.4238000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.5000000000e-01,5.1040000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.4000000000e-01,4.7612000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.3000000000e-01,4.4048000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2000000000e-01,4.0864000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.1000000000e-01,3.7328000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0000000000e-01,3.3812000000e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
