# Saved on 2025-06-24T17:18:59.171160
# Name: Evan
# Sample_ID: Batch3_F5_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.5
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -1.5
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 12
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.8
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0002
#   max_gtarget: 0.0013
#   num_level: 6
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 2.3
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: False
#   use_fine: False
#   use_ultra_fine: False
#   use_ultra_ultra_fine: False
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A),Loop 4 (A),Loop 5 (A)
9.0000000000e-02,2.1082000000e-04,1.7292000000e-04,1.6762000000e-04,0.0000000000e+00,0.0000000000e+00
8.0000000000e-02,1.8538000000e-04,1.5270000000e-04,1.4904000000e-04,0.0000000000e+00,0.0000000000e+00
7.0000000000e-02,1.6286000000e-04,1.3472000000e-04,1.3120000000e-04,0.0000000000e+00,0.0000000000e+00
6.0000000000e-02,1.4044000000e-04,1.1450000000e-04,1.1112000000e-04,0.0000000000e+00,0.0000000000e+00
5.0000000000e-02,1.1570000000e-04,9.6056000000e-05,9.3872000000e-05,0.0000000000e+00,0.0000000000e+00
4.0000000000e-02,9.4072000000e-05,7.5774000000e-05,7.3940000000e-05,0.0000000000e+00,0.0000000000e+00
3.0000000000e-02,6.9240000000e-05,5.6988000000e-05,5.6408000000e-05,0.0000000000e+00,0.0000000000e+00
2.0000000000e-02,4.7450000000e-05,3.8772000000e-05,3.7784000000e-05,0.0000000000e+00,0.0000000000e+00
1.0000000000e-02,2.3898000000e-05,1.8298000000e-05,1.8232000000e-05,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,1.0326800000e-06,-1.7780000000e-07,1.0072800000e-06,0.0000000000e+00,0.0000000000e+00
